CROP TYPE,PEST NAME
APPLES,Apple Clearwing Moth
APPLES,Apple Maggot
APPLES,Ambrosia Beetles
APPLES,Aphids
APPLES,Apple Curculio
APPLES,Apple Leaf Curling Midge
APPLES,Apple Mealybug
APPLES,Bruce Spanworm
APPLES,Caterpillers
APPLES,Cherry Fruit Fly
APPLES,Cherry Fruitworm
APPLES,Codling Moth
APPLES,Cutworms
APPLES,Earwigs
APPLES,European Paper Wasp
APPLES,Eyespotted Bud Moth
APPLES, Green Fruitworms
APPLES, Leafrollers
APPLES,Lygus Bugs
APPLES,Mites
APPLES,Mullein Bug (Campylomma)
APPLES,Peach Tree Borer
APPLES,Peach Twig Borer
APPLES,Pear Psylla
APPLES,Pear Slug (Pear Sawfly)
APPLES,Scale Insects
APPLES,Shothole Borer
APPLES,Spotted Wing Drosophila
APPLES,Tentiform Leafminer
APPLES, Western Flower Thrips
APPLES,White Apple Leafhopper
CORN,Black Cutworm
CORN,Brown Marmorated Stink Bug
CORN,Chafers
CORN,Corn Earworm
CORN,Corn Flea Beetle
CORN,Corn Leaf Aphid
CORN,Corn Rootworm
CORN,Corn Stunt Leafhoppers
CORN,Cutworms
CORN,Diabrotica Beetles
CORN,Diabrotica Beetle Rootworms
CORN,Egyptian Cottonworm
CORN,European chafer
CORN,European Corn Borer
CORN,Fall Armyworm
CORN,False Codling Moth
CORN,Flea Beetles
CORN,Flea Beetle Rootworms
CORN,Grasshoppers
CORN,Japanese beetle
CORN,June beetle
CORN,Lesser Cornstalk Borer
CORN,Maize Billbugs
CORN,Maize Billbug Grubs
CORN,Maize Streak Virus Leafhoppers
CORN,Maize Whorl Maggots
CORN,Millipedes
CORN,Northern Corn Leaf Blight
CORN,Old World BollWorm
CORN,Potato Stem Borer
CORN,Seedcorn Maggot
CORN,Slugs
CORN,Spider Mites
CORN,Spotted WIng Drosophila
CORN,Sugarcane Froghoppers
CORN,Thrips
CORN,True Armyworm
CORN,Western Bean Cutworm
CORN,Winter Moth
CORN,Wireworm
TOMATOES,Colorado Potato Beetle
TOMATOES,Cutworm - Armyworms
TOMATOES,Flea Beetles
TOMATOES,Potato Aphid
TOMATOES,Thrips
TOMATOES,Tomato fruitworm
TOMATOES,Tomato hornworm
TOMATOES,Two-spotted Spiders
TOMATOES,Vegetable Leafmights
TOMATOES,Whiteflies
